INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.007864000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.007712000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.018170000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008764000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.018408000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008710000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020209000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009041000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.019016000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009205000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020119000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008563000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020065000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009116000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020496000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009475000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.022004000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009434000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.065799000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009312000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.206908000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009034000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.019016000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009035000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.018780000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008956000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.019831000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009044000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.019824000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008956000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.018845000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008784000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.021358000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008920000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.019789000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.009009000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.018777000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008779000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.022435000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008966000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020461000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.008575000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.020675000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.016767000
